State,EV_Sold_2W,Total_Sold_2W,EV_Sold_4W,Total_Sold_4W,EV_Sold_Total,Total_Sold
Andaman & Nicobar,2,483,0,177,2,660
Andaman & Nicobar Island,35,13503,43,4722,78,18225
Andhra Pradesh,74099,2018842,3323,265029,77422,2283871
Arunachal Pradesh,4,39655,29,31892,33,71547
Assam,5963,1156601,455,246670,6418,1403271
Bihar,30020,2836853,999,211520,31019,3048373
Chandigarh,3654,60010,1625,70618,5279,130628
Chhattisgarh,51889,1181266,1915,153723,53804,1334989
DNH and DD,281,29446,74,13951,355,43397
Delhi,89178,1058093,18134,530343,107312,1588436
Goa,17634,140325,2050,59645,19684,199970
Gujarat,169557,3181823,11832,943728,181389,4125551
Haryana,26355,1228554,4442,674214,30797,1902768
Himachal Pradesh,2351,190694,244,134672,2595,325366
Jammu and Kashmir,5723,250458,248,164095,5971,414553
Jharkhand,17686,1202744,775,162142,18461,1364886
Karnataka,292329,3203736,20666,790593,312995,3994329
Kerala,120593,1498631,16467,566046,137060,2064677
Ladakh,58,3078,10,7418,68,10496
Madhya Pradesh,76362,3041912,2617,456786,78979,3498698
Maharashtra,363765,4821434,32280,1279995,396045,6101429
Manipur,252,82412,47,22101,299,104513
Meghalaya,135,53427,42,36756,177,90183
Mizoram,339,57919,1,13388,340,71307
Nagaland,9,18922,4,25170,13,44092
Odisha,76083,1488162,2184,200632,78267,1688794
Puducherry,5363,122252,173,28546,5536,150798
Punjab,22632,1165004,1201,378958,23833,1543962
Rajasthan,142425,2769367,7941,538224,150366,3307591
Sikkim,0,15245,0,14101,0,29346
Tamil Nadu,188855,3945865,11207,706498,200062,4652363
Tripura,522,110546,40,14670,562,125216
Uttar Pradesh,89165,7028450,6038,1098634,95203,8127084
Uttarakhand,13987,472442,1140,150265,15127,622707
West Bengal,25863,2430614,4697,305562,30560,2736176
